StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,sex,age,education,faith_in_god,religious_action,3,Q4.1,Q4.2,Q8.1,Q8.2,Q5.1,Q5.2,Q6.1,Q6.2,Q7.1,Q7.2,Q3.1,Q3.2,Q10.1,Q10.2,Q9.1,Q9.2
45336.01389,45336.01875,IP Address,112.47.137.186,100,365,TRUE,45336.01875,R_4uZLq2aGAkkn75n,,,,,24.9051,118.5707,anonymous,ZH-T,女,41-45岁,本科毕业,比较相信,一年2-3次,是,一定会增加,一定会增加,一定会增加,一定会增加,很有可能会降低,也许会增加 ,很有可能会降低,很有可能会增加 ,一定会增加,很有可能会增加 ,也许会降低,也许会增加 ,很有可能会增加,一定会增加,很有可能会降低,也许会增加 
45336.02361,45336.02778,IP Address,223.104.53.248,100,391,TRUE,45336.02778,R_4mt6ZfTkkjFkfNO,,,,,24.9051,118.5707,anonymous,ZH-T,女,31-35岁,职业中专,比较相信,几乎从未有过,是,一定会增加,一定会增加,也许会降低,不变,也许会降低,不变,也许会降低,不变,一定会增加,不变,也许会降低,也许会降低 ,一定会增加,不变,一定会降低,一定会降低 
45336.02083,45336.03125,IP Address,223.104.53.154,100,896,TRUE,45336.03125,R_4LvvUk18tCRXYPe,,,,,24.9051,118.5707,anonymous,ZH-T,女,36-40岁,大学本科,比较相信,每天都有，甚至不止一次,是,一定会增加,一定会增加,一定会增加,一定会增加,一定会增加,一定会增加,一定会增加,一定会增加,一定会增加,一定会增加,一定会增加,一定会增加,一定会增加,一定会增加,一定会增加,一定会增加
45336.02917,45336.03194,IP Address,120.43.248.241,100,221,TRUE,45336.03194,R_4fiAzGDpPSZ0yaZ,,,,,24.9051,118.5707,anonymous,ZH-T,女,31-35岁,大学本科,比较相信,几个月1次,是,,,不确定,不变,不确定,不变,不确定,不变,不确定,不变,不确定,不变,也许会降低,不变,不确定,不变
45336.05417,45336.06181,IP Address,120.32.161.59,100,631,TRUE,45336.06181,R_7si9VUR1RiTqPCM,,,,,26.0492,119.2906,anonymous,ZH-T,女,46-50岁,初中,不太相信,一年2-3次,是,一定会增加,一定会增加,一定会增加,一定会增加,也许会降低,很有可能会增加 ,很有可能会降低,很有可能会增加 ,一定会增加,一定会增加,一定会降低,很有可能会降低 ,也许会增加,很有可能会增加 ,很有可能会降低,一定会降低 
45336.01042,45336.06181,IP Address,223.104.45.114,100,4435,TRUE,45336.06181,R_4dYdVHZDCTyf5AD,,,,,24.9051,118.5707,anonymous,ZH-T,,,,,,,很有可能会增加,也许会增加 ,很有可能会增加,也许会增加 ,很有可能会增加,也许会增加 ,也许会降低,不变,也许会降低,也许会降低 ,也许会降低,不变,也许会增加,也许会增加 ,也许会降低,很有可能会降低 
45337.07639,45337.08681,IP Address,140.243.218.199,100,912,TRUE,45337.08681,R_5P6qgISofh4mjQY,,,,,26.0492,119.2906,anonymous,ZH-T,女,71岁及以上,小学,非常相信,每天都有，甚至不止一次,是,也许会降低,不变,一定会增加,一定会增加,很有可能会增加,很有可能会增加 ,也许会降低,一定会增加,一定会增加,一定会增加,很有可能会降低,不变,,,很有可能会降低,不变
45337.09375,45337.09514,IP Address,112.50.133.56,100,76,TRUE,45337.09514,R_4oFNh0lMMAMlWLS,,,,,26.0492,119.2906,anonymous,ZH-T,男,15岁以下,大学本科,比较相信,每周一次,是,也许会降低,也许会降低 ,很有可能会降低,很有可能会降低 ,也许会降低,也许会增加 ,也许会降低,很有可能会降低 ,也许会降低,也许会降低 ,也许会降低,也许会增加 ,一定会增加,很有可能会增加 ,很有可能会降低,很有可能会降低 
45337.09861,45337.09931,IP Address,123.147.247.159,100,84,TRUE,45337.09931,R_4OrfDbIKaLgMWi5,,,,,29.5689,106.5577,anonymous,ZH-T,不愿透露,36-40岁,未上过学,根本不相信,几乎从未有过,是,一定会降低,很有可能会降低 ,一定会降低,很有可能会降低 ,一定会降低,很有可能会降低 ,一定会增加,一定会降低 ,一定会降低,很有可能会降低 ,一定会降低,很有可能会增加 ,很有可能会降低,很有可能会降低 ,很有可能会降低,很有可能会降低 
45337.09861,45337.1,IP Address,183.251.36.49,100,113,TRUE,45337.1,R_4DLbNT4fG5X2HV7,,,,,24.5027,117.6495,anonymous,ZH-T,男,15-20岁,大学本科,不太相信,一年2-3次,是,很有可能会增加,很有可能会增加 ,也许会增加,也许会增加 ,也许会降低,也许会增加 ,也许会增加,也许会增加 ,很有可能会增加,很有可能会增加 ,也许会降低,也许会增加 ,也许会增加,也许会增加 ,也许会增加,也许会增加 
45337.09722,45337.1,IP Address,39.144.250.20,100,256,TRUE,45337.1,R_4Kgc5nOVELaeGbd,,,,,24.4793,118.0673,anonymous,ZH-T,女,15-20岁,未上过学,比较相信,一年2-3次,是,一定会增加,一定会增加,也许会降低,也许会降低 ,也许会降低,也许会降低 ,也许会降低,也许会降低 ,一定会增加,一定会增加,也许会降低,也许会降低 ,一定会增加,一定会增加,也许会降低,也许会降低 
45337.09931,45337.10139,IP Address,112.50.81.202,100,135,TRUE,45337.10139,R_4p5TuO2oEtP5TSF,,,,,26.2486,117.6186,anonymous,ZH-T,女,21-25岁,高中,比较相信,几个月1次,是,不确定,不变,也许会增加,也许会增加 ,不确定,不变,不确定,不变,不确定,不变,不确定,不变,也许会增加,也许会增加 ,不确定,不变
45337.10417,45337.10556,IP Address,110.157.74.166,100,110,TRUE,45337.10556,R_6TBjzRyFmB7Jt7B,,,,,44.2991,86.0403,anonymous,ZH-T,男,21-25岁,大学本科,根本不相信,几乎从未有过,是,一定会降低,一定会降低 ,也许会增加,也许会增加 ,一定会降低,一定会降低 ,一定会降低,一定会降低 ,也许会增加,也许会增加 ,一定会降低,一定会降低 ,也许会增加,也许会增加 ,很有可能会降低,很有可能会降低 
45337.39097,45337.39236,IP Address,220.249.162.121,100,112,TRUE,45337.39236,R_77pTRPJaMLIcXuA,,,,,26.0492,119.2906,anonymous,ZH-T,男,21-25岁,研究生毕业,比较相信,一年2-3次,是,不确定,不变,不确定,不变,不确定,不变,也许会降低,很有可能会增加 ,不确定,不变,不确定,也许会增加 ,一定会增加,一定会增加,也许会降低,也许会增加 
45337.39306,45337.39306,IP Address,120.40.199.0,100,40,TRUE,45337.39306,R_3ffwESS1OcJJeHW,,,,,26.586,118.7415,anonymous,ZH-T,不愿透露,71岁及以上,未上过学,根本不相信,几乎从未有过,是,一定会降低,一定会降低 ,一定会降低,一定会降低 ,一定会降低,一定会降低 ,一定会降低,一定会降低 ,一定会降低,一定会降低 ,一定会降低,一定会降低 ,一定会降低,一定会降低 ,一定会降低,一定会降低 
45337.39861,45337.39861,IP Address,112.50.84.142,100,43,TRUE,45337.39861,R_4q7BkSwr8fhtcWi,,,,,26.2486,117.6186,anonymous,ZH-T,男,21-25岁,研究生毕业,非常相信,一年2-3次,是,不确定,,很有可能会降低,很有可能会增加 ,一定会降低,,一定会降低,,很有可能会降低,很有可能会增加 ,一定会降低,,一定会降低,,一定会降低,
45337.39861,45337.4,IP Address,112.50.132.191,100,64,TRUE,45337.4,R_4XPWpG1qXgNTDjP,,,,,26.0492,119.2906,anonymous,ZH-T,男,21-25岁,本科毕业,非常相信,几乎从未有过,是,很有可能会降低,很有可能会降低 ,也许会降低,很有可能会增加 ,也许会降低,不变,一定会增加,很有可能会增加 ,很有可能会增加,很有可能会增加 ,不确定,也许会增加 ,也许会增加,一定会增加,也许会降低,也许会降低 
45337.47083,45337.47153,IP Address,112.50.85.232,100,58,TRUE,45337.47153,R_4lAHL4Zj85a9Ave,,,,,26.2486,117.6186,anonymous,ZH-T,女,26-30岁,未上过学,非常相信,一年2-3次,是,一定会增加,一定会增加,一定会增加,一定会增加,一定会降低,一定会降低 ,一定会增加,一定会增加,一定会降低,,一定会降低,一定会降低 ,一定会降低,,一定会增加,一定会增加
45339.08889,45339.09097,IP Address,27.153.220.122,100,172,TRUE,45339.09097,R_6okgjzJuD3hn0Tc,,,,,25.4536,118.9929,anonymous,ZH-T,女,15-20岁,大学本科,比较相信,一年2-3次,是,也许会增加,不变,也许会增加,很有可能会增加 ,很有可能会增加,很有可能会增加 ,也许会降低,很有可能会增加 ,也许会增加,很有可能会增加 ,不确定,不变,不确定,也许会增加 ,也许会降低,也许会降低 
45339.09514,45339.09583,IP Address,112.49.107.90,100,74,TRUE,45339.09583,R_41GLwadlA0S5Hpf,,,,,26.0492,119.2906,anonymous,ZH-T,男,15-20岁,大学本科,半信半疑,几乎从未有过,是,也许会降低,也许会降低 ,也许会降低,很有可能会增加 ,不确定,也许会增加 ,也许会降低,也许会降低 ,不确定,也许会增加 ,也许会降低,也许会降低 ,也许会增加,不变,也许会降低,也许会降低 
45339.09792,45339.1,IP Address,121.204.19.55,100,169,TRUE,45339.1,R_5tAfZ1x2eJmpueJ,,,,,26.0492,119.2906,anonymous,ZH-T,男,15-20岁,大学本科,比较相信,几乎从未有过,是,也许会增加,很有可能会增加 ,很有可能会增加,很有可能会增加 ,不确定,也许会增加 ,很有可能会降低,很有可能会增加 ,一定会增加,一定会增加,也许会降低,也许会增加 ,也许会增加,很有可能会增加 ,很有可能会降低,很有可能会降低 
45339.10069,45339.10417,IP Address,223.104.51.26,100,265,TRUE,45339.10417,R_429fIvsd3o9Buyd,,,,,26.0492,119.2906,anonymous,ZH-T,女,15-20岁,大学本科,比较相信,几个月1次,是,也许会增加,也许会增加 ,一定会增加,很有可能会增加 ,很有可能会降低,也许会降低 ,也许会降低,也许会降低 ,一定会增加,一定会增加,也许会降低,也许会增加 ,很有可能会增加,很有可能会增加 ,很有可能会降低,也许会降低 
45339.21528,45339.21736,IP Address,112.49.80.121,100,170,TRUE,45339.21736,R_4NfoowxqnOnIoU1,,,,,26.0492,119.2906,anonymous,ZH-T,男,51-55岁,本科毕业,比较相信,每月一次,是,很有可能会增加,也许会增加 ,很有可能会增加,也许会增加 ,不确定,也许会增加 ,很有可能会增加,很有可能会增加 ,很有可能会增加,很有可能会增加 ,不确定,也许会增加 ,也许会增加,很有可能会增加 ,很有可能会降低,不变
45341.12083,45341.12361,IP Address,121.207.23.231,100,238,TRUE,45341.12361,R_7FOJPjvtabQuvys,,,,,24.9051,118.5707,anonymous,ZH-T,男,51-55岁,职业中专,比较相信,一年2-3次,是,不确定,不变,不确定,不变,不确定,不变,不确定,不变,不确定,不变,不确定,不变,不确定,不变,不确定,不变
45336.01389,45336.01528,IP Address,27.152.247.239,45,143,FALSE,45343.01597,R_4RcXW4ojxqzCWxr,,,,,,,anonymous,ZH-T,女,31-35岁,小学,比较相信,一年2-3次,否,,,,,不确定,不变,,,,,,,不确定,不变,,
45336.01806,45336.01944,IP Address,223.104.45.125,27,132,FALSE,45343.01944,R_4PoTuJprbXor7m5,,,,,,,anonymous,ZH-T,男,71岁及以上,研究生毕业,比较相信,一年2-3次,是,,,,,,,,,,,,,,,,
45336.02639,45336.02708,IP Address,120.37.17.190,27,72,FALSE,45343.02708,R_5pKJWO4xuVKrf1n,,,,,,,anonymous,ZH-T,女,31-35岁,职业中专,半信半疑,一年2-3次,是,,,,,,,,,,,,,,,,
45336.06458,45336.06528,IP Address,120.32.241.185,14,54,FALSE,45343.06528,R_3WfzNIVdIt6SD5v,,,,,,,anonymous,ZH-T,男,15-20岁,大学本科,,,,,,,,,,,,,,,,,,,
45336.20208,45336.20208,IP Address,223.104.45.48,14,22,FALSE,45343.20208,R_4X1I0c3W9cxDjeV,,,,,,,anonymous,ZH-T,男,31-35岁,高中,,,,,,,,,,,,,,,,,,,
45337.43958,45337.43958,IP Address,120.40.194.204,14,13,FALSE,45344.43958,R_6TmJdjfCIkAvNT7,,,,,,,anonymous,ZH-T,男,21-25岁,高中,,,,,,,,,,,,,,,,,,,
45339.22431,45339.22431,IP Address,223.104.53.245,14,35,FALSE,45346.22431,R_4mqtvA5WMHzbTVu,,,,,,,anonymous,ZH-T,男,46-50岁,大学本科,,,,,,,,,,,,,,,,,,,
45348.07361,45348.07431,IP Address,58.23.193.216,100,85,TRUE,45348.07431,R_5vO0skEDOE2nEPv,,,,,24.9051,118.5707,anonymous,ZH-T,男,15-20岁,大学本科,比较相信,一年2-3次,是,也许会增加,很有可能会增加 ,很有可能会增加,也许会增加 ,也许会降低,也许会增加 ,也许会降低,很有可能会增加 ,也许会增加,很有可能会增加 ,也许会降低,也许会增加 ,也许会增加,很有可能会增加 ,也许会增加,很有可能会增加 
45348.07361,45348.075,IP Address,58.23.193.216,100,101,TRUE,45348.075,R_1V7tUjByS73LqjD,,,,,24.9051,118.5707,anonymous,ZH-T,男,15-20岁,大学本科,半信半疑,一年2-3次,是,也许会增加,也许会增加 ,很有可能会增加,很有可能会增加 ,也许会降低,也许会增加 ,也许会降低,也许会增加 ,也许会增加,也许会增加 ,也许会降低,也许会增加 ,也许会增加,很有可能会增加 ,也许会降低,也许会增加 
45348.07431,45348.08056,IP Address,58.23.193.216,100,552,TRUE,45348.08056,R_3rGVS4u7SJhzIDF,,,,,24.9051,118.5707,anonymous,ZH-T,不愿透露,21-25岁,大学本科,半信半疑,几乎从未有过,是,一定会增加,一定会增加,一定会增加,一定会增加,不确定,也许会增加 ,不确定,也许会增加 ,一定会增加,一定会增加,不确定,也许会增加 ,一定会增加,一定会增加,不确定,也许会增加 
45348.43819,45348.43958,IP Address,58.23.193.216,100,145,TRUE,45348.43958,R_4FzGXk1lSmzeBw4,,,,,24.9051,118.5707,anonymous,ZH-T,不愿透露,15-20岁,大学本科,不太相信,一年2-3次,是,也许会增加,不变,很有可能会增加,很有可能会增加 ,不确定,不变,不确定,不变,很有可能会增加,很有可能会增加 ,不确定,不变,不确定,不变,不确定,不变
45348.44931,45348.45139,IP Address,58.23.193.216,100,147,TRUE,45348.45139,R_4QPHQmsI8wd6wcv,,,,,24.9051,118.5707,anonymous,ZH-T,女,15-20岁,大学本科,不太相信,几乎从未有过,是,也许会增加,也许会增加 ,也许会增加,也许会增加 ,不确定,也许会增加 ,不确定,也许会降低 ,也许会增加,也许会增加 ,也许会降低,也许会增加 ,也许会增加,也许会增加 ,也许会降低,也许会降低 
45348.45486,45348.45625,IP Address,223.104.53.220,100,123,TRUE,45348.45625,R_4PmqHVA5RDsxAT7,,,,,24.9051,118.5707,anonymous,ZH-T,女,15-20岁,大学本科,比较相信,几乎从未有过,是,也许会增加,也许会增加 ,也许会增加,也许会增加 ,不确定,不变,不确定,不变,也许会增加,也许会增加 ,不确定,不变,不确定,也许会增加 ,不确定,不变
45349.26736,45349.26806,IP Address,149.102.98.150,14,13,FALSE,45356.26806,R_4es4qcSWkamMLpM,,,,,,,anonymous,ZH-T,女,15-20岁,高中,,,,,,,,,,,,,,,,,,,
45349.92778,45349.92778,IP Address,58.23.193.216,27,24,FALSE,45356.92778,R_2XpnJ5nkygt4N6O,,,,,,,anonymous,ZH-T,女,15-20岁,大学本科,半信半疑,几乎从未有过,是,,,,,,,,,,,,,,,,
45349.92847,45349.93056,IP Address,58.23.193.216,100,222,TRUE,45349.93056,R_3kXhg2xCVYcBJa9,,,,,24.9051,118.5707,anonymous,ZH-T,女,15-20岁,本科毕业,半信半疑,一年2-3次,是,也许会增加,不变,也许会增加,也许会增加 ,不确定,也许会增加 ,也许会降低,也许会增加 ,也许会增加,很有可能会增加 ,也许会降低,不变,不确定,也许会增加 ,也许会降低,不变
45349.93056,45349.93194,IP Address,58.23.193.216,100,170,TRUE,45349.93194,R_8pPyMFijiahVdqr,,,,,24.9051,118.5707,anonymous,ZH-T,女,15-20岁,大学本科,半信半疑,几乎从未有过,是,一定会增加,一定会增加,一定会增加,一定会增加,不确定,也许会增加 ,不确定,也许会增加 ,一定会增加,一定会增加,不确定,也许会增加 ,很有可能会增加,一定会增加,不确定,也许会增加 
45349.27222,45349.27222,IP Address,149.102.98.150,27,21,FALSE,45356.27222,R_4pWrDdpHZk68mXc,,,,,,,anonymous,ZH-T,女,15-20岁,大学本科,比较相信,一年2-3次,是,,,,,,,,,,,,,,,,
45364.24236,45364.24514,IP Address,202.175.50.172,100,211,TRUE,45364.24514,R_4MWXK1WxExudZPC,,,,,22.201,113.5559,anonymous,ZH-T,男,21-25岁,大学本科,半信半疑,一年2-3次,是,一定会增加,一定会增加,也许会降低,不变,也许会降低,不变,也许会降低,不变,一定会增加,一定会增加,很有可能会降低,不变,一定会增加,一定会增加,也许会降低,不变
45370.48264,45370.48472,IP Address,202.175.67.226,100,173,TRUE,45370.48472,R_4hSvukUSNeUoqo9,,,,,22.201,113.5559,anonymous,ZH-T,女,15-20岁,大学本科,非常相信,每月一次,是,一定会增加,一定会增加,一定会增加,一定会增加,也许会增加,一定会增加,不确定,一定会增加,一定会增加,一定会增加,也许会降低,一定会增加,一定会增加,一定会增加,不确定,一定会增加
45380.95625,45380.95764,IP Address,182.239.87.236,100,113,TRUE,45380.95764,R_4jQxbJer8bDKjtf,,,,,22.2908,114.1501,anonymous,ZH-T,不愿透露,21-25岁,大学本科,比较相信,几个月1次,是,也许会增加,也许会增加 ,也许会增加,不变,不确定,不变,也许会增加,也许会增加 ,也许会增加,也许会增加 ,也许会增加,也许会增加 ,很有可能会增加,也许会增加 ,不确定,也许会增加 
45380.95903,45380.9625,IP Address,118.99.2.9,100,283,TRUE,45380.9625,R_4Ytflb9rRERGcVq,,,,,22.2842,114.1759,anonymous,ZH-T,男,31-35岁,高中,半信半疑,一年2-3次,是,也许会增加,也许会增加 ,很有可能会增加,也许会增加 ,不确定,不变,一定会降低,也许会增加 ,很有可能会增加,也许会增加 ,一定会降低,一定会降低 ,不确定,也许会增加 ,很有可能会降低,一定会降低 
45380.96944,45380.97222,IP Address,223.104.45.36,100,234,TRUE,45380.97222,R_4d6M7IZUmJfuEBE,,,,,24.9051,118.5707,anonymous,ZH-T,女,56-60岁,高中,比较相信,每月一次,是,不确定,不变,不确定,不变,不确定,不变,不确定,不变,不确定,不变,不确定,不变,一定会降低,不变,不确定,不变
45380.97292,45380.97431,IP Address,27.148.31.227,100,160,TRUE,45380.97431,R_7YhxKSXiQRWZSHD,,,,,24.4793,118.0673,anonymous,ZH-T,女,26-30岁,本科毕业,比较相信,一年2-3次,是,也许会增加,也许会增加 ,也许会增加,很有可能会增加 ,不确定,不变,不确定,不变,很有可能会增加,很有可能会增加 ,不确定,不变,不确定,不变,也许会降低,不变
45380.97569,45380.97778,IP Address,140.243.23.98,100,190,TRUE,45380.97778,R_36l2qyq6yF89EyX,,,,,26.0492,119.2906,anonymous,ZH-T,不愿透露,15-20岁,高中,非常相信,一年2-3次,是,不确定,不变,不确定,不变,不确定,不变,也许会降低,也许会降低 ,不确定,不变,不确定,不变,不确定,不变,不确定,不变
45380.98125,45380.98333,IP Address,27.149.73.190,100,205,TRUE,45380.98333,R_7j1mJ2lICWcQgO4,,,,,26.0492,119.2906,anonymous,ZH-T,男,21-25岁,本科毕业,比较相信,几个月1次,是,也许会增加,也许会增加 ,也许会增加,也许会增加 ,一定会降低,一定会降低 ,很有可能会降低,也许会降低 ,也许会增加,也许会增加 ,很有可能会降低,也许会降低 ,很有可能会增加,很有可能会增加 ,很有可能会降低,很有可能会降低 
45380.97708,45380.98889,IP Address,203.160.80.39,100,992,TRUE,45380.98889,R_4lJt1xrFQhRXTRS,,,,,22.2908,114.1501,anonymous,ZH-T,男,15-20岁,高中,比较相信,一年2-3次,是,很有可能会增加,很有可能会增加 ,很有可能会增加,很有可能会增加 ,很有可能会增加,很有可能会增加 ,也许会增加,很有可能会增加 ,很有可能会增加,很有可能会增加 ,很有可能会增加,很有可能会增加 ,很有可能会增加,一定会增加,也许会增加,也许会增加 
45381.10139,45381.10486,IP Address,120.43.249.160,100,307,TRUE,45381.10486,R_2is9jbMxLYwYMbY,,,,,24.9051,118.5707,anonymous,ZH-T,男,26-30岁,大学本科,非常相信,每天都有，甚至不止一次,是,不确定,不变,不确定,不变,不确定,不变,也许会增加,不变,不确定,不变,不确定,不变,不确定,不变,不确定,不变
45381.10556,45381.10764,IP Address,223.104.53.3,100,201,TRUE,45381.10764,R_40Ixj5u8jmFzD1Y,,,,,24.9051,118.5707,anonymous,ZH-T,女,26-30岁,大学本科,比较相信,一年2-3次,是,一定会增加,一定会增加,一定会增加,一定会增加,也许会降低,也许会降低 ,也许会降低,很有可能会降低 ,也许会增加,也许会增加 ,也许会增加,也许会增加 ,很有可能会增加,不变,也许会降低,也许会降低 
45381.10486,45381.10903,IP Address,223.104.45.102,100,388,TRUE,45381.10903,R_4MDQdqcouGswafn,,,,,24.9051,118.5707,anonymous,ZH-T,女,26-30岁,高中,非常相信,一年2-3次,是,很有可能会增加,很有可能会增加 ,,,不确定,很有可能会增加 ,不确定,很有可能会增加 ,很有可能会增加,很有可能会增加 ,不确定,很有可能会增加 ,也许会增加,也许会增加 ,很有可能会降低,也许会增加 
45381.10972,45381.11181,IP Address,120.32.150.181,100,179,TRUE,45381.11181,R_5JvuPfzn8JVb69z,,,,,26.0492,119.2906,anonymous,ZH-T,男,31-35岁,大学本科,非常相信,每月一次,是,一定会增加,一定会增加,不确定,不变,不确定,不变,也许会降低,不变,不确定,不变,不确定,不变,不确定,不变,不确定,不变
45381.11319,45381.11389,IP Address,36.248.233.173,100,82,TRUE,45381.11389,R_4J1NMYBEQSYrojp,,,,,24.4793,118.0673,anonymous,ZH-T,女,26-30岁,大学本科,非常相信,几个月1次,是,也许会降低,也许会降低 ,不确定,也许会降低 ,很有可能会降低,也许会降低 ,很有可能会增加,很有可能会增加 ,很有可能会降低,不变,也许会降低,不变,很有可能会降低,很有可能会增加 ,也许会增加,很有可能会增加 
45382.02431,45382.02569,IP Address,117.61.86.224,100,135,TRUE,45382.02569,R_2fm7jZ3V1YqPxsI,,,,,34.7732,113.722,anonymous,ZH-T,女,15-20岁,大学本科,比较相信,一年2-3次,是,也许会增加,也许会增加 ,也许会增加,也许会增加 ,不确定,也许会增加 ,不确定,不变,也许会增加,也许会增加 ,不确定,也许会降低 ,也许会增加,也许会增加 ,不确定,也许会降低 
45382.02431,45382.02569,IP Address,117.61.86.224,100,136,TRUE,45382.02569,R_2L5RaHyoGkBokqM,,,,,34.7732,113.722,anonymous,ZH-T,女,15-20岁,大学本科,不太相信,几乎从未有过,是,也许会增加,也许会增加 ,也许会增加,也许会增加 ,也许会降低,一定会增加,也许会降低,也许会增加 ,一定会增加,一定会增加,也许会降低,很有可能会降低 ,也许会增加,很有可能会增加 ,也许会降低,不变
45382.02361,45382.02569,IP Address,223.104.53.102,100,197,TRUE,45382.02569,R_42yKELVjybXxK0z,,,,,24.9051,118.5707,anonymous,ZH-T,女,26-30岁,大学本科,比较相信,几乎从未有过,是,一定会增加,很有可能会增加 ,一定会增加,一定会增加,不确定,一定会增加,不确定,一定会增加,一定会增加,一定会增加,不确定,很有可能会增加 ,也许会增加,一定会增加,不确定,一定会增加
45382.025,45382.02639,IP Address,223.104.53.1,100,85,TRUE,45382.02639,R_4aDjC2CiKVQqfLj,,,,,24.9051,118.5707,anonymous,ZH-T,女,21-25岁,本科毕业,非常相信,每天都有，甚至不止一次,是,也许会增加,也许会增加 ,也许会增加,也许会增加 ,也许会增加,也许会增加 ,也许会降低,也许会增加 ,也许会增加,也许会增加 ,也许会增加,也许会增加 ,也许会增加,也许会增加 ,也许会增加,也许会增加 
45382.02361,45382.02708,IP Address,36.251.161.137,100,271,TRUE,45382.02708,R_4DdzWyKrD6JfIkx,,,,,24.9051,118.5707,anonymous,ZH-T,女,15-20岁,初中,半信半疑,几乎从未有过,是,也许会增加,也许会增加 ,也许会降低,也许会增加 ,不确定,很有可能会增加 ,也许会降低,很有可能会增加 ,不确定,很有可能会增加 ,也许会降低,不变,也许会增加,也许会增加 ,也许会降低,也许会增加 
45382.07014,45382.07083,IP Address,39.144.248.27,100,75,TRUE,45382.07083,R_40pgQF7aMrC5cJR,,,,,26.6564,119.5239,anonymous,ZH-T,男,21-25岁,大学本科,非常相信,一年2-3次,是,也许会增加,也许会增加 ,也许会增加,也许会增加 ,也许会增加,也许会增加 ,也许会增加,也许会增加 ,不确定,也许会增加 ,也许会增加,也许会增加 ,也许会增加,也许会增加 ,也许会增加,也许会增加 
45384.4375,45384.44167,IP Address,222.209.111.171,100,352,TRUE,45384.44167,R_18Tic99LeETjndj,,,,,30.6498,104.0555,anonymous,ZH-T,女,46-50岁,大学本科,比较相信,一年2-3次,是,也许会增加,不变,也许会增加,不变,不确定,不变,不确定,不变,也许会增加,不变,也许会降低,不变,也许会增加,不变,也许会降低,不变
45384.50278,45384.50486,IP Address,39.144.27.50,100,184,TRUE,45384.50486,R_4bVMM3kU90hFnTP,,,,,34.7599,113.6459,anonymous,ZH-T,女,46-50岁,职业中专,比较相信,每月一次,是,很有可能会增加,很有可能会增加 ,很有可能会增加,很有可能会增加 ,不确定,不变,不确定,也许会增加 ,很有可能会增加,很有可能会增加 ,不确定,不变,很有可能会增加,很有可能会增加 ,也许会降低,不变
45385.42847,45385.43056,IP Address,39.129.24.74,100,178,TRUE,45385.43056,R_4m9SCCGRPdosmvG,,,,,25.0088,102.6513,anonymous,ZH-T,女,15-20岁,大学本科,比较相信,一年2-3次,是,很有可能会增加,很有可能会增加 ,很有可能会增加,一定会增加,很有可能会降低,也许会增加 ,很有可能会降低,也许会增加 ,一定会增加,一定会增加,一定会降低,也许会降低 ,不确定,很有可能会增加 ,很有可能会降低,也许会降低 
45385.46736,45385.47222,IP Address,182.33.133.77,100,390,TRUE,45385.47222,R_8Wvy8EngfiJ8qgd,,,,,36.061,120.3814,anonymous,ZH-T,女,41-45岁,职业中专,非常相信,一年2-3次,是,一定会增加,也许会增加 ,很有可能会增加,很有可能会增加 ,不确定,很有可能会增加 ,也许会增加,一定会增加,一定会增加,一定会增加,不确定,很有可能会增加 ,也许会增加,很有可能会增加 ,不确定,一定会增加
45380.95347,45380.97292,IP Address,140.224.216.48,27,1667,FALSE,45387.97292,R_5qZ8OEVUSF9xDB7,,,,,,,anonymous,ZH-T,,,,,,,,,,,,,,,,,,,,,,
45380.97083,45380.97083,IP Address,223.104.45.97,14,13,FALSE,45387.99375,R_41ETqTrbxoxeR87,,,,,,,anonymous,ZH-T,男,36-40岁,大学本科,,,,,,,,,,,,,,,,,,,
45381.10764,45381.10903,IP Address,120.32.130.123,27,62,FALSE,45388.10903,R_5Z9DxGTwEPUmC1X,,,,,,,anonymous,ZH-T,男,21-25岁,本科毕业,半信半疑,一年2-3次,是,,,,,,,,,,,,,,,,
45381.11319,45381.11389,IP Address,223.104.53.92,27,54,FALSE,45388.11875,R_4v7IGJhsxfr9BvQ,,,,,,,anonymous,ZH-T,女,26-30岁,本科毕业,比较相信,一年2-3次,是,,,,,,,,,,,,,,,,
45394.01667,45394.01875,IP Address,39.144.29.85,100,181,TRUE,45394.01875,R_4G9Wm1COlUuSDWY,,,,,34.7599,113.6459,anonymous,ZH-T,女,46-50岁,职业中专,比较相信,每月一次,是,很有可能会增加,很有可能会增加 ,很有可能会增加,很有可能会增加 ,也许会降低,不变,不确定,也许会增加 ,很有可能会增加,很有可能会增加 ,一定会增加,也许会增加 ,很有可能会增加,也许会增加 ,不确定,也许会降低 
