StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,ID,2,Q4.1,Q4.2,Q8.1,Q8.2,Q5.1,Q5.2,Q6.1,Q6.2,Q7.1,Q7.2,Q3.1,Q3.2,Q10.1,Q10.2,Q9.1,Q9.2
3/13/2024 5:37,3/13/2024 5:40,IP Address,149.102.98.184,100,170,TRUE,3/13/2024 5:40,R_4dKxc9whsNwrs9K,,,,,22.1592,113.5638,anonymous,ZH-T,151,是,也许会增加,也许更多,也许会增加,很有可能会增加,不变,不变,也许会降低,也许会降低,很有可能会增加,很有可能会增加,也许会降低,也许会增加,也许会增加,很有可能会增加,很有可能会降低,也许会降低
3/14/2024 8:17,3/14/2024 8:19,IP Address,202.175.67.187,100,132,TRUE,3/14/2024 8:19,R_4XHurPcpxE65xsZ,,,,,22.201,113.5559,anonymous,ZH-T,153,是,也许会增加,也许更多,一定会增加,很有可能会增加,不变,不变,也许会降低,也许会降低,一定会增加,很有可能会增加,很有可能会降低,也许会降低,也许会增加,很有可能会增加,很有可能会降低,也许会降低
3/15/2024 22:55,3/15/2024 23:05,IP Address,113.52.68.90,100,599,TRUE,3/15/2024 23:05,R_4ty4LBPodivmZrX,,,,,22.201,113.5559,anonymous,ZH-T,155,是,也许会增加,也许更多,很有可能会增加,也许会增加,也许会降低,也许会降低,很有可能会降低,也许会增加,一定会增加,很有可能会增加,也许会降低,也许会降低,也许会增加,不变,很有可能会降低,很有可能会降低
3/16/2024 0:39,3/16/2024 1:03,IP Address,149.102.98.182,100,1415,TRUE,3/16/2024 1:03,R_42pdpF9ARpzhM89,,,,,22.1592,113.5638,anonymous,ZH-T,157,是,也许会增加,很有可能更多,很有可能会增加,一定会增加,也许会降低,很有可能会增加,也许会降低,不变,一定会增加,一定会增加,不变,不变,不变,不变,也许会降低,不变
3/18/2024 6:58,3/18/2024 7:05,IP Address,149.102.98.25,100,390,TRUE,3/18/2024 7:05,R_4GwbZvmjsP3IKeL,,,,,22.1592,113.5638,anonymous,ZH-T,159,是,一定会增加,很有可能更多,很有可能会增加,很有可能会增加,也许会降低,也许会降低,很有可能会降低,也许会降低,一定会增加,一定会增加,也许会降低,很有可能会降低,很有可能会增加,很有可能会增加,很有可能会降低,也许会降低
3/19/2024 6:44,3/19/2024 6:54,IP Address,103.143.92.125,100,577,TRUE,3/19/2024 6:54,R_414HFA9a8xkowFj,,,,,22.201,113.5559,anonymous,ZH-T,161,是,也许会增加,也许更多,也许会增加,也许会增加,很有可能会降低,很有可能会降低,也许会降低,也许会降低,很有可能会增加,很有可能会增加,也许会降低,也许会降低,也许会增加,也许会增加,也许会降低,也许会降低
3/21/2024 2:08,3/21/2024 2:10,IP Address,149.102.98.89,100,149,TRUE,3/21/2024 2:10,R_4PzrXlT3azOOVHo,,,,,22.1592,113.5638,anonymous,ZH-T,163,是,很有可能会增加,也许更多,也许会增加,一定会增加,很有可能会降低,也许会增加,一定会降低,很有可能会增加,一定会增加,一定会增加,一定会降低,很有可能会增加,不变,也许会增加,一定会降低,很有可能会增加
3/21/2024 7:25,3/21/2024 8:27,IP Address,113.52.103.5,100,3729,TRUE,3/21/2024 8:27,R_4dnOyy7W3MKUSpa,,,,,22.201,113.5559,anonymous,ZH-T,165,是,很有可能会增加,很有可能更多,很有可能会增加,很有可能会增加,很有可能会降低,很有可能会降低,很有可能会降低,也许会降低,很有可能会增加,很有可能会增加,很有可能会降低,也许会降低,也许会增加,也许会增加,一定会降低,很有可能会降低
3/22/2024 2:15,3/22/2024 2:17,IP Address,202.175.67.226,100,121,TRUE,3/22/2024 2:17,R_4XifekTGXAjl8l4,,,,,22.201,113.5559,anonymous,ZH-T,171,是,很有可能会增加,很有可能更多,也许会增加,很有可能会增加,很有可能会降低,也许会增加,很有可能会降低,也许会增加,很有可能会增加,很有可能会增加,一定会降低,也许会降低,也许会增加,也许会增加,很有可能会降低,很有可能会增加
4/2/2024 11:07,4/2/2024 11:07,IP Address,202.175.67.180,100,41,TRUE,4/2/2024 11:07,R_4uUoGN4bR3GksAU,,,,,22.201,113.5559,anonymous,ZH-T,175,是,很有可能会降低,很有可能更多,很有可能会降低,很有可能会降低,很有可能会降低,很有可能会降低,很有可能会降低,很有可能会降低,很有可能会降低,很有可能会降低,很有可能会降低,很有可能会降低,很有可能会降低,很有可能会降低,很有可能会降低,很有可能会降低
4/7/2024 5:19,4/7/2024 5:21,IP Address,113.52.99.3,100,127,TRUE,4/7/2024 5:21,R_4Ea7hevdTnsbWNg,,,,,22.201,113.5559,anonymous,ZH-T,179,是,很有可能会增加,很有可能更多,也许会增加,也许会增加,也许会降低,也许会降低,也许会降低,也许会降低,一定会增加,一定会增加,也许会降低,也许会降低,也许会增加,也许会增加,也许会降低,不变
4/2/2024 12:22,4/2/2024 12:22,IP Address,39.144.27.50,11,22,FALSE,4/9/2024 12:22,R_4dJIeOIEpGUV0FO,,,,,,,anonymous,ZH-T,177,是,,,,,,,,,,,,,,,,
4/14/2024 13:27,4/14/2024 13:28,IP Address,112.96.87.88,100,86,TRUE,4/14/2024 13:28,R_4AT0PwjnPjrHZVF,,,,,22.2767,113.5788,anonymous,ZH-T,183,是,很有可能会增加,很有可能更少,也许会增加,一定会增加,也许会降低,也许会增加,也许会降低,一定会增加,一定会增加,一定会增加,也许会增加,也许会增加,一定会增加,一定会增加,也许会降低,也许会增加
4/21/2024 12:04,4/21/2024 12:07,IP Address,60.246.220.109,100,193,TRUE,4/21/2024 12:07,R_4CgqrEWtvUbuFF8,,,,,22.201,113.5559,anonymous,ZH-T,185,是,很有可能会增加,也许更多,很有可能会增加,很有可能会增加,也许会降低,也许会降低,很有可能会降低,很有可能会降低,一定会增加,一定会增加,也许会降低,很有可能会降低,也许会增加,也许会增加,很有可能会降低,很有可能会降低
4/26/2024 1:11,4/26/2024 1:12,IP Address,183.236.59.18,100,84,TRUE,4/26/2024 1:12,R_4A0C1OoGXAFYDNf,,,,,34.7732,113.722,anonymous,ZH-T,174,是,很有可能会增加,很有可能更多,很有可能会增加,很有可能会增加,也许会降低,也许会增加,不变,也许会增加,很有可能会增加,很有可能会增加,很有可能会降低,也许会降低,很有可能会增加,也许会增加,很有可能会降低,也许会增加
4/26/2024 1:11,4/26/2024 1:13,IP Address,202.175.67.167,100,123,TRUE,4/26/2024 1:13,R_4SessPWnGVymPXr,,,,,22.201,113.5559,anonymous,ZH-T,167,是,也许会增加,也许更多,也许会增加,也许会增加,也许会降低,也许会增加,也许会降低,也许会增加,也许会增加,也许会增加,也许会降低,也许会增加,也许会增加,很有可能会增加,也许会降低,不变
7/18/2024 13:23,7/18/2024 13:27,IP Address,149.102.98.201,100,262,TRUE,7/18/2024 13:27,R_4NWqdpkSCPOYkk9,,,,,22.1592,113.5638,anonymous,ZH-T,187,是,不变,不变,不变,不变,不变,不变,也许会降低,也许会降低,也许会增加,不变,也许会降低,也许会降低,不变,不变,很有可能会降低,也许会降低
8/8/2024 2:14,8/8/2024 2:16,IP Address,202.175.67.186,100,140,TRUE,8/8/2024 2:16,R_4NUjKElGHeXsqWB,,,,,22.201,113.5559,anonymous,ZH-T,189,是,也许会增加,也许更多,很有可能会增加,也许会增加,不变,也许会增加,也许会降低,也许会增加,也许会增加,也许会增加,也许会降低,也许会增加,也许会增加,一定会增加,也许会降低,也许会降低
8/8/2024 12:14,8/8/2024 12:17,IP Address,223.104.51.107,100,177,TRUE,8/8/2024 12:17,R_4HwqIN70X9UpGEZ,,,,,26.0492,119.2906,anonymous,ZH-T,191,是,也许会增加,也许更多,也许会增加,也许会增加,也许会降低,不变,也许会降低,不变,一定会增加,一定会增加,也许会降低,不变,也许会增加,一定会增加,很有可能会降低,也许会降低
8/8/2024 12:31,8/8/2024 12:34,IP Address,117.176.135.122,100,171,TRUE,8/8/2024 12:34,R_4rkzKxtP7oMPmT7,,,,,30.6498,104.0555,anonymous,ZH-T,193,是,也许会增加,很有可能更多,很有可能会增加,很有可能会增加,不变,很有可能会增加,不变,也许会增加,一定会增加,一定会增加,不变,很有可能会增加,很有可能会增加,一定会增加,也许会降低,很有可能会增加
8/8/2024 12:50,8/8/2024 12:54,IP Address,103.143.93.140,100,231,TRUE,8/8/2024 12:54,R_49U1YQV6pcA3S3n,,,,,22.201,113.5559,anonymous,ZH-T,195,是,很有可能会增加,也许更多,很有可能会增加,很有可能会增加,很有可能会降低,很有可能会增加,也许会降低,也许会增加,也许会增加,很有可能会增加,也许会降低,也许会增加,也许会增加,也许会增加,很有可能会降低,也许会降低
8/9/2024 2:12,8/9/2024 2:21,IP Address,112.14.73.237,100,561,TRUE,8/9/2024 2:21,R_4Puw177Kq6RFvoQ,,,,,28.0002,120.6547,anonymous,ZH-T,197,是,很有可能会增加,很有可能更多,很有可能会增加,也许会增加,也许会降低,也许会降低,很有可能会降低,很有可能会降低,很有可能会增加,很有可能会增加,很有可能会降低,很有可能会降低,很有可能会增加,很有可能会增加,很有可能会降低,也许会降低
8/9/2024 2:34,8/9/2024 2:36,IP Address,149.102.98.182,100,118,TRUE,8/9/2024 2:36,R_4lQtgZ6yfQlbBfA,,,,,22.1592,113.5638,anonymous,ZH-T,199,是,很有可能会增加,很有可能更多,也许会增加,也许会增加,也许会降低,也许会降低,很有可能会降低,很有可能会降低,很有可能会增加,很有可能会增加,很有可能会降低,很有可能会降低,不变,也许会增加,很有可能会降低,很有可能会降低
3/14/2024 22:12,3/14/2024 22:14,IP Address,149.102.98.181,100,116,TRUE,3/14/2024 22:14,R_4MolkC9bi3ToRsT,,,,,22.1592,113.5638,anonymous,ZH-T,154,是,,,一定会增加,很有可能会增加,也许会降低,不变,很有可能会降低,很有可能会降低,一定会增加,一定会增加,一定会降低,很有可能会降低,不变,不变,一定会降低,很有可能会降低
3/15/2024 5:34,3/15/2024 5:36,IP Address,202.175.67.248,100,99,TRUE,3/15/2024 5:36,R_4EsV7qn8oCNVxyR,,,,,22.201,113.5559,anonymous,ZH-T,152,是,,,也许会增加,很有可能会增加,一定会降低,也许会降低,很有可能会降低,也许会降低,一定会增加,很有可能会增加,也许会降低,也许会降低,也许会增加,很有可能会增加,一定会降低,也许会降低
3/15/2024 23:51,3/15/2024 23:57,IP Address,149.102.98.54,100,370,TRUE,3/15/2024 23:57,R_4uEzQOtIgt5MmdG,,,,,22.1592,113.5638,anonymous,ZH-T,156,是,,,一定会增加,一定会增加,不变,也许会增加,也许会降低,也许会增加,一定会增加,一定会增加,很有可能会降低,也许会增加,一定会增加,一定会增加,也许会降低,很有可能会增加
3/19/2024 11:33,3/19/2024 11:34,IP Address,18.180.158.38,100,82,TRUE,3/19/2024 11:34,R_4igFiNvLhP4NLLT,,,,,35.6893,139.6899,anonymous,ZH-T,162,是,,,很有可能会增加,一定会增加,也许会增加,也许会增加,很有可能会增加,也许会增加,不变,也许会降低,也许会增加,也许会增加,很有可能会增加,也许会增加,也许会增加,也许会增加
3/21/2024 8:52,3/21/2024 8:54,IP Address,149.102.98.111,100,115,TRUE,3/21/2024 8:54,R_4afCtrHsE8lBqwS,,,,,22.1592,113.5638,anonymous,ZH-T,168,是,,,很有可能会增加,很有可能会增加,不变,不变,也许会降低,不变,很有可能会增加,也许会增加,很有可能会降低,不变,不变,很有可能会增加,很有可能会降低,不变
3/22/2024 1:38,3/22/2024 1:42,IP Address,202.175.67.187,100,256,TRUE,3/22/2024 1:42,R_4f7C9vDTU9MsqBr,,,,,22.201,113.5559,anonymous,ZH-T,170,是,,,很有可能会增加,很有可能会增加,不变,也许会增加,也许会降低,也许会降低,一定会增加,一定会增加,不变,不变,很有可能会增加,很有可能会增加,很有可能会降低,也许会降低
3/31/2024 0:05,3/31/2024 0:08,IP Address,120.37.47.175,100,126,TRUE,3/31/2024 0:08,R_7GVUUPhTA7K8dRT,,,,,24.9051,118.5707,anonymous,ZH-T,172,是,,,很有可能会增加,很有可能会增加,很有可能会降低,很有可能会增加,也许会降低,很有可能会增加,也许会增加,很有可能会增加,也许会降低,很有可能会增加,很有可能会增加,很有可能会增加,也许会降低,很有可能会增加
4/2/2024 11:04,4/2/2024 11:07,IP Address,149.102.98.146,100,164,TRUE,4/2/2024 11:07,R_4swXPG6M12cAYwN,,,,,22.1592,113.5638,anonymous,ZH-T,174,是,,,也许会增加,也许会增加,也许会增加,也许会增加,很有可能会降低,也许会降低,很有可能会增加,很有可能会增加,也许会降低,也许会降低,也许会增加,很有可能会增加,很有可能会降低,也许会降低
4/2/2024 11:27,4/2/2024 11:29,IP Address,149.102.98.146,100,131,TRUE,4/2/2024 11:29,R_4spmosRUJLm0z5c,,,,,22.1592,113.5638,anonymous,ZH-T,176,是,,,也许会增加,也许会增加,很有可能会降低,很有可能会降低,很有可能会降低,也许会降低,也许会增加,也许会增加,很有可能会降低,很有可能会降低,也许会增加,也许会增加,很有可能会降低,很有可能会降低
4/3/2024 5:25,4/3/2024 5:28,IP Address,149.102.98.194,100,166,TRUE,4/3/2024 5:28,R_4hbimVRHU8UUnM8,,,,,22.1592,113.5638,anonymous,ZH-T,178,是,,,很有可能会增加,一定会增加,也许会降低,也许会降低,很有可能会降低,很有可能会降低,一定会增加,一定会增加,一定会降低,一定会降低,也许会增加,也许会增加,很有可能会降低,一定会降低
4/7/2024 8:37,4/7/2024 8:41,IP Address,161.64.128.35,100,199,TRUE,4/7/2024 8:41,R_4KkhF4uXjEwOPbK,,,,,22.201,113.5559,anonymous,ZH-T,180,是,,,很有可能会增加,很有可能会增加,也许会降低,也许会降低,也许会降低,也许会增加,一定会增加,一定会增加,很有可能会降低,也许会增加,很有可能会增加,很有可能会增加,也许会降低,也许会降低
4/7/2024 21:01,4/7/2024 21:05,IP Address,161.64.128.63,100,239,TRUE,4/7/2024 21:05,R_4wdCz74TJgvkLGa,,,,,22.201,113.5559,anonymous,ZH-T,181,是,,,不变,不变,不变,不变,不变,不变,不变,不变,也许会降低,不变,不变,不变,也许会降低,不变
4/14/2024 13:29,4/14/2024 13:31,IP Address,112.96.87.110,100,145,TRUE,4/14/2024 13:31,R_4hyIouDXYCGVCy1,,,,,22.2767,113.5788,anonymous,ZH-T,182,是,,,也许会增加,也许会增加,很有可能会降低,很有可能会降低,也许会降低,也许会降低,很有可能会增加,很有可能会增加,也许会增加,也许会增加,也许会增加,也许会增加,很有可能会降低,很有可能会降低
4/14/2024 13:29,4/14/2024 13:31,IP Address,113.52.79.104,100,135,TRUE,4/14/2024 13:31,R_4rNPGbIVnurEOSJ,,,,,22.201,113.5559,anonymous,ZH-T,184,是,,,很有可能会增加,很有可能会增加,不变,也许会增加,很有可能会降低,很有可能会降低,一定会增加,一定会增加,一定会降低,一定会降低,也许会增加,也许会增加,一定会降低,一定会降低
4/26/2024 1:25,4/26/2024 1:30,IP Address,202.175.67.166,100,285,TRUE,4/26/2024 1:30,R_43aa3td1gg219jH,,,,,22.201,113.5559,anonymous,ZH-T,166,是,,,很有可能会增加,很有可能会增加,很有可能会降低,很有可能会降低,很有可能会降低,也许会降低,一定会增加,一定会增加,也许会降低,也许会降低,也许会增加,不变,很有可能会降低,也许会降低
4/26/2024 1:29,4/26/2024 1:30,IP Address,202.175.67.201,100,97,TRUE,4/26/2024 1:30,R_4WpKBpWWzkS1rXP,,,,,22.201,113.5559,anonymous,ZH-T,164,是,,,一定会增加,一定会增加,一定会降低,也许会增加,一定会降低,也许会增加,一定会增加,一定会增加,也许会降低,也许会增加,一定会增加,一定会增加,很有可能会降低,一定会增加
4/26/2024 1:40,4/26/2024 1:44,IP Address,149.102.98.183,100,244,TRUE,4/26/2024 1:44,R_4GjJ2v1xxn8XXoZ,,,,,22.1592,113.5638,anonymous,ZH-T,160,是,,,也许会增加,也许会增加,很有可能会降低,也许会降低,很有可能会降低,也许会降低,一定会增加,很有可能会增加,也许会降低,很有可能会降低,很有可能会增加,也许会增加,很有可能会降低,很有可能会降低
4/26/2024 1:54,4/26/2024 1:56,IP Address,202.175.67.167,100,177,TRUE,4/26/2024 1:56,R_4C48VK7uGhAQCw0,,,,,22.201,113.5559,anonymous,ZH-T,158,是,,,也许会增加,也许会增加,很有可能会降低,也许会降低,很有可能会降低,很有可能会降低,也许会增加,也许会增加,不变,也许会增加,不变,不变,很有可能会降低,也许会降低
5/12/2024 6:31,5/12/2024 6:35,IP Address,202.175.67.196,100,221,TRUE,5/12/2024 6:35,R_4fSTIadGF8gZ6Fz,,,,,22.201,113.5559,anonymous,ZH-T,186,是,,,很有可能会增加,一定会增加,很有可能会降低,也许会降低,很有可能会降低,也许会降低,一定会增加,一定会增加,不变,很有可能会增加,也许会增加,也许会增加,也许会降低,一定会增加
6/3/2024 7:03,6/3/2024 7:07,IP Address,202.175.67.197,100,255,TRUE,6/3/2024 7:07,R_4FKyEjUWQUa1wQI,,,,,22.201,113.5559,anonymous,ZH-T,186,是,,,也许会增加,很有可能会增加,很有可能会降低,也许会降低,很有可能会降低,也许会降低,很有可能会增加,很有可能会增加,也许会降低,很有可能会降低,不变,不变,很有可能会降低,也许会增加
7/25/2024 9:12,7/25/2024 9:13,IP Address,111.205.232.34,100,94,TRUE,7/25/2024 9:13,R_4ESdCmAIt1ph2rT,,,,,39.911,116.395,anonymous,ZH-T,188,是,,,一定会增加,一定会增加,也许会降低,也许会降低,也许会降低,很有可能会增加,一定会增加,一定会增加,也许会降低,一定会增加,不变,一定会增加,很有可能会降低,一定会增加
8/8/2024 5:42,8/8/2024 5:45,IP Address,223.104.73.131,100,197,TRUE,8/8/2024 5:45,R_4M55ONExCwEDHrR,,,,,22.2767,113.5788,anonymous,ZH-T,190,是,,,很有可能会增加,很有可能会增加,很有可能会降低,也许会增加,也许会降低,也许会增加,一定会增加,也许会增加,不变,也许会增加,不变,也许会增加,一定会降低,很有可能会降低
8/8/2024 12:17,8/8/2024 12:19,IP Address,27.155.169.81,100,112,TRUE,8/8/2024 12:19,R_5BtjPD5fVJSySjA,,,,,26.0492,119.2906,anonymous,ZH-T,192,是,,,也许会增加,也许会增加,很有可能会降低,也许会降低,也许会降低,也许会增加,很有可能会增加,也许会增加,不变,也许会增加,也许会增加,很有可能会增加,也许会降低,也许会降低
8/8/2024 12:39,8/8/2024 12:42,IP Address,223.104.72.227,100,195,TRUE,8/8/2024 12:42,R_4wFv3JbiS9gUB2k,,,,,22.2767,113.5788,anonymous,ZH-T,194,是,,,也许会增加,也许会增加,也许会降低,也许会降低,一定会降低,一定会降低,也许会增加,也许会增加,一定会降低,一定会降低,也许会增加,很有可能会增加,也许会降低,也许会降低
8/8/2024 12:56,8/8/2024 12:59,IP Address,149.102.98.194,100,181,TRUE,8/8/2024 12:59,R_4ATkMgFaUfoKUWj,,,,,22.1592,113.5638,anonymous,ZH-T,196,是,,,很有可能会增加,一定会增加,很有可能会降低,也许会降低,很有可能会降低,也许会降低,很有可能会增加,一定会增加,也许会降低,也许会降低,很有可能会增加,一定会增加,很有可能会降低,也许会降低
8/9/2024 2:30,8/9/2024 2:32,IP Address,123.167.60.66,100,127,TRUE,8/9/2024 2:32,R_1pkI2Cobm9E0ST7,,,,,45.7787,126.5975,anonymous,ZH-T,198,是,,,很有可能会增加,一定会增加,一定会降低,不变,很有可能会降低,也许会降低,很有可能会增加,一定会增加,不变,不变,不变,很有可能会增加,一定会降低,很有可能会降低
8/9/2024 3:06,8/9/2024 3:09,IP Address,206.119.130.109,100,190,TRUE,8/9/2024 3:09,R_49NeEJSpnAosC6B,,,,,22.201,113.5559,anonymous,ZH-T,200,是,,,很有可能会增加,很有可能会增加,不变,也许会增加,不变,也许会增加,一定会增加,很有可能会增加,不变,也许会降低,也许会增加,很有可能会增加,也许会降低,很有可能会增加
